Feature1,Feature2,Class
4.528559987430301,2.272255417961838,0
-7.401661480993027,-4.960828293131487,0
4.877753992576968,1.7185616979268485,0
-7.54131706211759,-8.0206880827645,0
4.081648573830317,2.5859950056100534,0
-2.7581617715318236,9.985857079152677,0
1.7898487269109191,2.51775208473436,0
-3.019004316243633,9.048727139904162,0
-4.593310562551339,10.73898277795943,0
-7.111003148641309,-6.902787118763288,0
-5.756855950917928,-6.218924118459942,0
-6.237152744578651,-8.151653665402714,0
-2.533552215313733,11.156556486810185,0
-7.350166330680687,-8.292800745768577,0
-7.514429874618656,-6.4191509514186444,0
4.9199241789255055,-0.7013974442134088,0
-3.146584750359268,10.203302659305873,0
-6.659303899460352,-7.267193837750885,0
-2.439145459939569,10.176164430806512,0
-4.05200084129565,8.853655008672828,0
5.723461939338097,1.63970899075896,0
-7.006783220608001,-5.903611890503058,0
2.756895389556375,0.4495718732725653,0
6.2340567924321135,2.0767078378899075,0
5.7448760380325155,1.5956385353809068,0
4.1821942745490235,3.0198823977164957,0
5.00010487330553,2.51449097794901,0
-9.161289263571847,-7.991960299939976,0
-6.976376596481625,-7.308531323275982,0
-2.6775825455256026,8.688273632381472,0
4.784132358510141,2.303953490478968,0
5.610367295841481,0.7149050545734441,0
-3.987783868832592,10.15804017140525,0
-2.831877461894886,8.763453111743274,0
-1.1766461553876224,9.943218141730537,0
-6.725772962277771,-7.571322031067064,0
4.241433561238734,1.5265266371261257,0
-3.2783399728400484,8.074383027089457,0
-6.816609532252041,-6.356424851896782,0
4.494034403255911,1.0077734738078097,0
4.825971857104037,3.269426393688734,0
5.7728052235291365,4.0335923823854305,0
-1.5450417388807716,8.70884142575664,0
-9.429653482667616,-6.494084974567387,0
5.050262113014993,3.1878364640736345,0
4.188884819198792,2.267119071883894,0
-8.45297414075701,-6.728093815438167,0
-7.310727180676963,-6.1025598277518185,0
-3.796361191637,7.61716794308533,0
-5.508528377239348,-6.862139678259476,0
-6.797982482133016,-6.485565558959272,0
5.9139424197442505,-0.5793704680800178,0
-7.22093170581133,-7.133819328342345,0
-0.660241528107405,10.140851157746079,0
-7.3269901403124855,-6.028094558367452,0
0.5696831854024875,10.133861039632897,0
3.042259107059645,3.4633072060405734,0
-5.384896183881966,-8.23931086193927,0
-5.887980812890468,-6.279056658201843,0
-6.023891870290429,-7.3550662977973245,0
-2.688448648409662,8.90428062949727,0
4.446269325192593,2.717756082413862,0
-2.7481297222224446,8.647461716383633,0
-7.14049799239716,-5.195939186935314,0
-7.401582756627167,-7.627212346943013,0
-7.463856284343356,-3.839422639116506,0
4.278648643313728,2.095660609315187,0
7.009166137039598,3.368603766139917,0
-7.129399803191653,-6.351570391444545,0
3.1675247747173234,2.7071201623049705,0
2.7270274828802723,3.750464451971186,0
4.566771534219163,1.1823987648553782,0
3.8891585017352885,2.765880701674397,0
-4.212580062407905,8.958738429301702,0
-3.888516851067277,8.283356088256403,0
-2.186029908867969,8.866683541899652,0
-2.3622623246660623,8.49215455817833,0
-2.4744838743001885,7.045781914760267,0
-2.363361152837366,9.59958556471466,0
4.885170578865036,0.7306688470213447,0
-2.1154003248364988,7.0866135488527116,0
-6.583331825647602,-6.78537111744304,0
3.760161474843545,1.7989026494738063,0
-6.795617000226919,-7.669356188162144,0
4.696389484693658,1.8482480886171666,0
4.809571994199385,2.455137510993624,0
-1.6685540740640261,8.361662148895931,0
-1.6956804056830803,7.7834218117643665,0
-1.551892800459219,8.908195492856901,0
